object,direction,position,transformations,question,correct_answer
arrow,east,"(-2,-1)",rotate 225 degrees counterclockwise then move 2 units down then rotate 270 degrees counterclockwise then rotate 135 degrees counterclockwise,Which direction is the object facing?,south
ship,south,"(-5,-6)",rotate 225 degrees counterclockwise then rotate 45 degrees counterclockwise then move 6 units up,Where is the object relative to its starting position?,north
car,south,"(3,-2)",rotate 90 degrees clockwise then rotate 180 degrees counterclockwise then rotate 180 degrees counterclockwise then move 3 units left,Where is the object relative to its starting position?,west
ship,south,"(-6,-3)",rotate 270 degrees clockwise then rotate 270 degrees counterclockwise then move 2 units down then rotate 45 degrees counterclockwise,Where is the object relative to its starting position?,south
tank,east,"(-2,2)",rotate 180 degrees counterclockwise then move 3 units left,Which direction is the object facing?,west
rocket,south,"(5,4)",rotate 45 degrees clockwise then move 2 units down then rotate 270 degrees clockwise,Where is the object relative to its starting position?,south
car,west,"(4,6)",rotate 270 degrees counterclockwise then move 2 units left then move 5 units down then rotate 180 degrees clockwise,Where is the object relative to its starting position?,south
pointer,north,"(8,-5)",move 6 units up then rotate 225 degrees counterclockwise then rotate 180 degrees clockwise then move 2 units left,Where is the object relative to its starting position?,north
arrow,east,"(-7,-1)",move 4 units up then rotate 225 degrees clockwise,Where is the object relative to its starting position?,north
cursor,north,"(-4,7)",rotate 180 degrees clockwise then move 2 units up,Where is the object relative to its starting position?,north
